Timestamp,EquipmentId,EngineTemperature,OilPressure
2026-05-08T21:13:11.2298050Z,EQ-3,93.43,47.35
2026-05-08T21:13:21.2298050Z,EQ-3,90.64,49.17
2026-05-08T21:13:31.2298050Z,EQ-2,88.91,43.80
2026-05-08T21:13:41.2298050Z,EQ-1,88.96,42.71
2026-05-08T21:13:51.2298050Z,EQ-2,91.42,42.36
2026-05-08T21:14:01.2298050Z,EQ-1,95.64,49.88
2026-05-08T21:14:11.2298050Z,EQ-4,93.02,41.44
2026-05-08T21:14:21.2298050Z,EQ-2,85.86,42.73
2026-05-08T21:14:31.2298050Z,EQ-3,89.27,47.63
2026-05-08T21:14:41.2298050Z,EQ-2,91.27,41.82
2026-05-08T21:14:51.2298050Z,EQ-3,96.37,48.99
2026-05-08T21:15:01.2298050Z,EQ-2,87.69,40.15
2026-05-08T21:15:11.2298050Z,EQ-1,98.16,49.81
2026-05-08T21:15:21.2298050Z,EQ-4,93.75,45.24
2026-05-08T21:15:31.2298050Z,EQ-3,90.52,40.17
2026-05-08T21:15:41.2298050Z,EQ-2,86.57,43.41
2026-05-08T21:15:51.2298050Z,EQ-1,95.99,41.30
2026-05-08T21:16:01.2298050Z,EQ-4,93.34,41.05
2026-05-08T21:16:11.2298050Z,EQ-3,99.14,45.17
2026-05-08T21:16:21.2298050Z,EQ-3,94.14,40.91
2026-05-08T21:16:31.2298050Z,EQ-4,98.09,44.19
2026-05-08T21:16:41.2298050Z,EQ-3,88.38,47.19
2026-05-08T21:16:51.2298050Z,EQ-4,98.96,48.61
2026-05-08T21:17:01.2298050Z,EQ-3,90.69,43.10
2026-05-08T21:17:11.2298050Z,EQ-2,87.23,45.50
2026-05-08T21:17:21.2298050Z,EQ-3,97.99,48.95
2026-05-08T21:17:31.2298050Z,EQ-1,99.08,49.56
2026-05-08T21:17:41.2298050Z,EQ-4,98.33,40.16
2026-05-08T21:17:51.2298050Z,EQ-2,87.69,40.97
2026-05-08T21:18:01.2298050Z,EQ-3,94.24,43.72
2026-05-08T21:18:11.2298050Z,EQ-3,94.20,49.22
2026-05-08T21:18:21.2298050Z,EQ-1,93.52,49.99
2026-05-08T21:18:31.2298050Z,EQ-3,97.56,40.19
2026-05-08T21:18:41.2298050Z,EQ-4,99.37,42.91
2026-05-08T21:18:51.2298050Z,EQ-3,94.75,41.53
2026-05-08T21:19:01.2298050Z,EQ-3,93.48,45.82
2026-05-08T21:19:11.2298050Z,EQ-3,89.48,47.69
2026-05-08T21:19:21.2298050Z,EQ-3,85.99,42.60
2026-05-08T21:19:31.2298050Z,EQ-4,95.07,49.39
2026-05-08T21:19:41.2298050Z,EQ-4,91.56,41.81
2026-05-08T21:19:51.2298050Z,EQ-4,98.74,42.29
2026-05-08T21:20:01.2298050Z,EQ-2,89.13,43.44
2026-05-08T21:20:11.2298050Z,EQ-1,90.24,48.86
2026-05-08T21:20:21.2298050Z,EQ-2,96.88,40.54
